s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	tag	task	sample	cpus_per_task	snake_thread
35898.6554	9:58:18	120070.09	170343.07	23838.03	27283.84	330757.32	721.65	117.72	42156.19	d1	m6anet_dataprep	deac	32	32
3073.1647	0:51:13	6447.49	14278.43	2440.03	3332.25	17799.08	64.57	125.54	3859.24	a8	m6anet_dataprep	s1	16	4
3320.6061	0:55:20	6662.49	14422.77	2783.68	3785.54	17699.77	63.12	127.64	4239.23	a9	m6anet_dataprep	s1	8	4
3402.6859	0:56:42	6308.48	13885.54	2826.29	3654.19	76.98	64.36	134.85	4594.06	a7	m6anet_dataprep	s1	32	4
3481.0594	0:58:01	6690.89	14473.71	3166.8	3934.12	23182.54	64.97	133.61	4651.73	a0	m6anet_dataprep	s1	4	4
4799.638	1:19:59	6566.35	14384.95	3085.08	3929.74	52155.6	124.12	142.92	6863.54	b7	m6anet_dataprep	s1	32	4
5437.8357	1:30:37	6280.8	13914.54	2948.49	3722.66	58341.55	130.59	136.12	7402.43	b8	m6anet_dataprep	s1	16	4
7581.0995	2:06:21	6109.41	13864.93	2262.39	3129.25	70677.45	129.12	125.6	9522.71	b9	m6anet_dataprep	s1	8	4
7637.1391	2:07:17	6457.3	14159.71	2907.42	3791.77	60994.03	125.18	128.53	9817.84	b0	m6anet_dataprep	s1	4	4
13099.3485	3:38:19	6650.32	14410.83	3006.32	3813.9	159352.14	286.92	126.9	16614.92	c9	m6anet_dataprep	s1	8	4
13391.4625	3:43:11	6886.71	14579.74	3176.06	4013.69	153936.53	298.12	128.85	17249.89	c8	m6anet_dataprep	s1	16	4
13697.3503	3:48:17	6816.27	14585.48	3464.32	4265.78	149829.61	285.38	130.96	17938.72	c7	m6anet_dataprep	s1	32	4
15269.2321	4:14:29	6834.66	14441.02	3143.31	3944.53	156953.04	292.88	123.45	18852.25	c0	m6anet_dataprep	s1	4	4
51709.8849	14:21:49	7692.14	15479.17	4919.62	5582.47	611702.21	1448.31	129.87	67154.09	d7	m6anet_dataprep	s1	32	4
40139.4243	11:08:59	7281.28	15011.75	3815.12	4648.86	607544.07	1486.61	128.75	51675.47	d8	m6anet_dataprep	s1	16	4
45329.5478	12:35:29	7361.91	15255.49	3726.75	4581.8	607533.9	1440.07	132.16	59910.36	d9	m6anet_dataprep	s1	8	4
51572.9003	14:19:32	7340.05	15038.26	4073.55	4808.97	606925.28	1508.96	130.7	67411.16	d0	m6anet_dataprep	s1	4	4
2424.8162	0:40:24	14615.66	28489.22	3755.47	5189.7	23534.7	60.52	128.72	3122.61	a3	m6anet_dataprep	s1	32	8
3249.1559	0:54:09	13070.16	26862.84	4011.34	5230.81	23238.31	60.73	132.29	4298.87	a5	m6anet_dataprep	s1	16	8
3460.6626	0:57:40	12538.13	26213.45	3200.25	4434.92	23191.35	65.02	133.88	4624.93	a6	m6anet_dataprep	s1	8	8
7075.3475	1:57:55	12935.5	26700.52	4035.45	5204.78	59410.24	123.54	130.28	9205.2	b3	m6anet_dataprep	s1	32	8
7917.1239	2:11:57	13318.26	27488.84	4021.46	5233.03	50980.21	133.68	126.38	9989.89	b5	m6anet_dataprep	s1	16	8
7895.0945	2:11:35	13518.5	27568.39	4818.95	5968.41	47793.96	133.62	126.47	9971.91	b6	m6anet_dataprep	s1	8	8
13921.3844	3:52:01	14384.74	28503.88	5033.43	6252.21	149729.87	285.6	130.29	18124.08	c3	m6anet_dataprep	s1	32	8
10869.7822	3:01:09	14099.84	28122.88	6234.33	7244.87	135132.44	286.82	133.62	14524.36	c5	m6anet_dataprep	s1	16	8
14823.5871	4:07:03	12760.26	26815.98	4210.2	5309.86	145256.95	302.27	129.25	19161.39	c6	m6anet_dataprep	s1	8	8
53132.0747	14:45:32	16857.21	30723.83	7486.32	8691.94	611223.7	1450.03	127.81	67879.13	d3	m6anet_dataprep	s1	32	8
47965.3769	13:19:25	16965.18	30989.84	5865.41	7232.23	621144.96	1475.26	123.27	59108.05	d5	m6anet_dataprep	s1	16	8
59857.0509	16:37:37	16173.98	30048.19	6880.11	8024.87	608098.2	1447.96	126.09	75460.57	d6	m6anet_dataprep	s1	8	8
3408.5534	0:56:48	33798.52	60521.04	6715.51	8612.69	23477.57	60.98	138.11	4689.32	a2	m6anet_dataprep	s1	32	16
3969.3931	1:06:09	35677.31	62518.96	4940.5	6457.01	1153.45	64.78	124.31	4908.3	a4	m6anet_dataprep	s1	16	16
7816.6137	2:10:16	33866.14	59803.89	6371.96	8211.8	81832.79	123.97	122.42	9571.96	b2	m6anet_dataprep	s1	32	16
5978.6721	1:39:38	33116.96	60200.51	7437.92	9246.23	48514.07	123.14	135.06	8081.83	b4	m6anet_dataprep	s1	16	16
10734.8606	2:58:54	37466.25	63865.07	7273.55	9320.64	160663.73	283.45	130.48	14007.14	c2	m6anet_dataprep	s1	32	16
10503.0916	2:55:03	36736.73	63071.84	10456.34	12273.05	148355.83	283.24	123.45	12936.65	c4	m6anet_dataprep	s1	16	16
53833.5697	14:57:13	43498.2	70347.41	14542.07	16608.68	611706.69	1448.43	126.63	68120.4	d2	m6anet_dataprep	s1	32	16
37854.6493	10:30:54	42622.27	68854.11	13321.88	15190.68	624867	1438.77	130.95	49570.25	d4	m6anet_dataprep	s1	16	16
2423.9116	0:40:23	72777.32	123531.87	8339.02	10466.65	23124.54	63.95	143.71	3441.25	a1	m6anet_dataprep	s1	32	32
6782.3866	1:53:02	94847.96	147064.33	11914.25	14772.06	50538.92	124.84	132.93	8947.92	b1	m6anet_dataprep	s1	32	32
14801.0459	4:06:41	102454.57	152946.67	17492.01	20451.09	148447.59	286.73	124.96	18435.66	c1	m6anet_dataprep	s1	32	32
53889.2389	14:58:09	118026.04	169873.29	25806.46	28986.85	620042.54	1454.8	128.76	69279.85	d1	m6anet_dataprep	s1	32	32
3171.8144	0:52:51	7092.93	14741.91	3595.26	4464.59	1115.73	60.95	130.86	4154.95	a9	m6anet_dataprep	s2	8	4
3396.923	0:56:36	6326.7	13978.81	2949.79	3727.56	34948.68	63.86	122.58	4170.61	a8	m6anet_dataprep	s2	16	4
3556.4592	0:59:16	6453.34	14042.57	3135.23	3970.35	860.69	64.6	130.31	4634.68	a0	m6anet_dataprep	s2	4	4
