s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	tag	task	sample	cpus_per_task	snake_thread
160.9601	0:02:40	4230.63	75136.18	634.8	717.64	239.48	44.02	372.76	599.18	b1	m6anet_inference	s1	32	32
410.6982	0:06:50	4597.13	75201.6	884.41	965.46	384.73	112.04	357.85	1483.29	c1	m6anet_inference	s1	32	32
1827.7491	0:30:27	5568.41	147940.53	998.8	1089.79	916.34	627.71	373.29	6800.83	d1	m6anet_inference	s1	32	32
14.2992	0:00:14	772.34	9475.98	220.13	316.86	0	19.99	205.49	30.73	a7	m6anet_inference	s2	32	4
15.6591	0:00:15	765.93	9554.6	238.15	303.43	20.81	24.51	207.06	33.37	a8	m6anet_inference	s2	16	4
15.8426	0:00:15	763.05	9562.25	169.3	292.95	2.28	19.99	187.33	30.83	a9	m6anet_inference	s2	8	4
17.8161	0:00:17	789.42	9505.08	237.98	326.42	83.29	23.99	178.81	32.31	a0	m6anet_inference	s2	4	4
28.6038	0:00:28	763.48	9559.95	133.89	278.23	38.44	27.99	150.94	43.85	b8	m6anet_inference	s2	16	4
38.2127	0:00:38	760.32	9560.05	180.66	299.29	276.64	20	85.07	33.36	b9	m6anet_inference	s2	8	4
39.3216	0:00:39	757.41	9487.98	146	272.41	137.27	19.99	75.32	30.51	b0	m6anet_inference	s2	4	4
72.3307	0:01:12	779.74	9567.66	130.75	274.03	72.72	27.99	75.14	54.67	b7	m6anet_inference	s2	32	4
76.8355	0:01:16	773.07	9568.41	205.96	337.85	165.14	71.99	155.32	119.98	c8	m6anet_inference	s2	16	4
80.8661	0:01:20	755.51	9568.95	158.83	288.64	373.45	107.94	206.78	168.1	c9	m6anet_inference	s2	8	4
89.6627	0:01:29	768.2	9495.26	273.16	379	701.09	95.96	167.78	151.5	c7	m6anet_inference	s2	32	4
93.9827	0:01:33	751.69	9485.41	215.48	307.82	132.15	59.98	95.43	90.55	c0	m6anet_inference	s2	4	4
290.3898	0:04:50	807.33	9507.7	292.69	409.41	1096.6	367.64	184.26	535.46	d7	m6anet_inference	s2	32	4
276.7263	0:04:36	811.2	9594.4	320.05	415.47	778.66	295.76	180.42	500.48	d8	m6anet_inference	s2	16	4
209.2276	0:03:29	825.3	9594.23	301.45	407.48	653.51	295.77	196.14	410.96	d9	m6anet_inference	s2	8	4
227.8733	0:03:47	828.59	9508.09	327.27	429.34	533.12	374.09	197.2	450.38	d0	m6anet_inference	s2	4	4
15.0408	0:00:15	1244.4	16824	272.81	361.87	0	19.99	263.85	40.66	a3	m6anet_inference	s2	32	8
19.3349	0:00:19	1249.06	17127.29	249.98	348.73	1.64	19.99	257.03	52.07	a5	m6anet_inference	s2	16	8
22.0185	0:00:22	1228.44	17067.03	248.91	341.36	0	19.99	217.4	48.9	a6	m6anet_inference	s2	8	8
36.6784	0:00:36	1273.04	17124.83	211.84	328.08	57.54	23.99	130.92	47.3	b3	m6anet_inference	s2	32	8
38.0765	0:00:38	1285.72	17125.04	189.76	318.2	371.98	23.99	101.71	39.43	b5	m6anet_inference	s2	16	8
47.7565	0:00:47	1288.67	17135.49	253.45	353.19	248.66	20	90.91	45.01	b6	m6anet_inference	s2	8	8
85.718	0:01:25	1267.05	17014.8	255.24	357.16	350.55	103.95	256.45	220.44	c3	m6anet_inference	s2	32	8
86.6124	0:01:26	1265.95	17270.2	225.71	333.89	409.59	103.96	295.89	257.23	c5	m6anet_inference	s2	16	8
140.5599	0:02:20	1256.08	16949.52	275.57	376.85	487.65	111.98	234.96	332.39	c6	m6anet_inference	s2	8	8
270.8476	0:04:30	1354.38	16730.36	414.89	506.89	948.93	355.65	247.22	670.87	d3	m6anet_inference	s2	32	8
324.4004	0:05:24	1372.3	17318.14	438.68	532.27	790.48	295.75	215.71	699.58	d5	m6anet_inference	s2	16	8
533.2342	0:08:53	1338.3	17246.6	383.61	514.63	456.71	339.77	377.56	1898.93	d6	m6anet_inference	s2	8	8
25.4152	0:00:25	2249.24	32446.56	406.66	495.55	1.18	19.99	163.28	44.68	a2	m6anet_inference	s2	32	16
31.8575	0:00:31	2326.96	32124.14	395.55	496.03	0	16	269.4	86.93	a4	m6anet_inference	s2	16	16
66.5773	0:01:06	2358.46	32451.66	328.31	448.8	203.78	16	68.02	47.03	b2	m6anet_inference	s2	32	16
93.1922	0:01:33	2325.7	32713.38	349.31	460	239.02	40.01	519.09	487.12	b4	m6anet_inference	s2	16	16
140.5455	0:02:20	2297.96	32740.16	422.08	505.71	423.32	88	230.66	309.63	c2	m6anet_inference	s2	32	16
206.6695	0:03:26	2297.27	32732.82	367.08	476.91	312.24	99.96	188.69	459.74	c4	m6anet_inference	s2	16	16
437.6516	0:07:17	2537.86	32470.59	473.92	566.57	924.11	347.67	215.04	937.45	d2	m6anet_inference	s2	32	16
402.3937	0:06:42	2511.74	32798.89	467.88	572.15	857.32	347.7	366.4	1484.9	d4	m6anet_inference	s2	16	16
74.6648	0:01:14	4261.31	81767.59	516.75	612.5	0	8	291.48	204.39	a1	m6anet_inference	s2	32	32
155.5405	0:02:35	4413.97	75141.44	587.75	675.55	339.11	28	241.13	367.68	b1	m6anet_inference	s2	32	32
372.3135	0:06:12	4293.72	75201.08	575.13	660.83	337.1	84.04	294.85	1113.42	c1	m6anet_inference	s2	32	32
1164.4942	0:19:24	5694.38	165887.48	761.47	853.13	761.15	363.98	355.34	4111.36	d1	m6anet_inference	s2	32	32
29.5699	0:00:29	2425.81	2687.11	2424.05	2424.31	0	6.18	172.32	51.55	a9	minimap	deac	8	4
36.1745	0:00:36	2381.46	2687.11	2379.07	2379.49	0	6.18	121.24	44.37	a8	minimap	deac	16	4
36.6229	0:00:36	2371.33	2687.11	2370.37	2370.92	1722.12	6.18	104.42	38.75	a0	minimap	deac	4	4
42.1301	0:00:42	2366.06	2687.11	2363.76	2364.18	1460.21	6.18	105.14	44.69	a7	minimap	deac	32	4
54.4404	0:00:54	2985.93	3145.11	2983.86	2984.27	1460.21	6.18	307.22	167.34	b7	minimap	deac	32	4
57.1818	0:00:57	2972.73	3145.11	2970.7	2971.11	1460.21	6.18	305.53	174.66	b8	minimap	deac	16	4
65.6394	0:01:05	2870.34	3145.11	2868.51	2868.95	0	6.18	237.38	156.37	b9	minimap	deac	8	4
70.9177	0:01:10	2867.7	3145.11	2865.41	2866.38	532.1	6.18	220.83	157.1	b0	minimap	deac	4	4
125.4676	0:02:05	3877.67	4140.38	3875.66	3876.04	1460.21	6.18	316.4	397.57	c7	minimap	deac	32	4
128.1454	0:02:08	3842.98	4076.38	3841.04	3841.43	0	6.18	304.42	390.67	c9	minimap	deac	8	4
128.6894	0:02:08	3837.72	4076.38	3835.71	3836.68	2533.96	6.18	296.9	382.57	c0	minimap	deac	4	4
133.2556	0:02:13	3839.24	4140.38	3836.97	3837.35	979.75	6.18	296.28	394.78	c8	minimap	deac	16	4
300.2326	0:05:00	5445.55	5673.7	5443.08	5443.5	0	2398.42	377.39	1133.65	d7	minimap	deac	32	4
277.6865	0:04:37	5439.68	5673.7	5437.26	5437.7	1460.21	2398.42	366.58	1018.47	d8	minimap	deac	16	4
289.0189	0:04:49	5439.82	5673.7	5437.65	5437.95	2453.43	2421.58	375.77	1086.61	d9	minimap	deac	8	4
321.3993	0:05:21	5452	5673.7	5450.98	5451.53	2874.85	2398.42	370.04	1189.87	d0	minimap	deac	4	4
18.2227	0:00:18	2551.11	2887.12	2548.9	2549.32	0	6.18	453.95	83.26	a3	minimap	deac	32	8
20.2803	0:00:20	2536.83	2951.12	2535.17	2535.61	1460.25	6.18	426.87	87.58	a5	minimap	deac	16	8
26.0253	0:00:26	2446.96	2951.12	2445.93	2446.4	1721.66	6.18	292	76.48	a6	minimap	deac	8	8
42.0987	0:00:42	2713.79	3153.12	2711.45	2711.86	243.4	6.18	210.1	88.73	b3	minimap	deac	32	8
47.6442	0:00:47	3047.97	3649.12	3046.03	3046.47	1460.25	479.57	585.5	279.35	b5	minimap	deac	16	8
46.3678	0:00:46	2641.82	3089.12	2641.11	2641.66	1991.74	6.18	128.38	60.04	b6	minimap	deac	8	8
72.5283	0:01:12	3668.48	4084.39	3666.8	3667.19	1459.22	6.18	411.22	298.5	c3	minimap	deac	32	8
58.0451	0:00:58	3861.93	4084.39	3860.43	3860.84	0	6.18	541.06	314.6	c5	minimap	deac	16	8
77.3966	0:01:17	3585.48	4148.39	3584.94	3585.4	2534.22	6.18	365.31	283.05	c6	minimap	deac	8	8
158.0231	0:02:38	5489.04	5937.71	5486.57	5486.99	1460.21	1201.55	651.69	1030.38	d3	minimap	deac	32	8
138.5254	0:02:18	5494.93	5921.83	5492.42	5492.8	2218.82	2538.66	720.2	998.18	d5	minimap	deac	16	8
158.1945	0:02:38	5509.73	5887.53	5507.96	5508.77	2874.65	1201.55	561.27	888.37	d6	minimap	deac	8	8
17.771	0:00:17	2613.52	3415.16	2611.62	2612.06	1459.22	244.86	746.82	133.37	a2	minimap	deac	32	16
23.4263	0:00:23	2498.43	3415.16	2497.4	2497.87	1721.66	6.18	379.5	89.49	a4	minimap	deac	16	16
27.5895	0:00:27	2829.56	3617.16	2827.57	2827.98	0	6.18	485.35	134.51	b2	minimap	deac	32	16
26.8446	0:00:26	2787.12	3617.16	2786.24	2786.78	1991.74	6.18	327.81	88.45	b4	minimap	deac	16	16
37.6823	0:00:37	3344.66	4084.41	3342.71	3343.15	1460.25	6.18	348.56	132.1	c2	minimap	deac	32	16
38.3128	0:00:38	3334.89	4084.41	3334.11	3334.65	2534.73	6.18	334.55	128.59	c4	minimap	deac	16	16
90.4495	0:01:30	5529.03	6449.86	5526.96	5527.34	0	1201.55	1180.87	1068.7	d2	minimap	deac	32	16
96.5659	0:01:36	5565.84	6415.56	5564.77	5565.32	4336.55	1201.55	828.7	800.49	d4	minimap	deac	16	16
11.506	0:00:11	2669.04	4471.22	2668.02	2668.56	1722.16	221.24	879.93	101.93	a1	minimap	deac	32	32
21.8635	0:00:21	3067.32	4673.22	3066.49	3067.04	1990.78	6.18	938.78	205.51	b1	minimap	deac	32	32
33.1654	0:00:33	3425.67	5140.48	3424.78	3425.33	2533.7	6.18	494.74	164.32	c1	minimap	deac	32	32
81.9538	0:01:21	5677.15	6397.57	5676.12	5676.68	4336.56	2114.17	1538.99	1261.9	d1	minimap	deac	32	32
38.2003	0:00:38	2461.82	2735.11	2459.92	2460.22	0	6.18	122.07	47.17	a9	minimap	s1	8	4
44.0022	0:00:44	2444.81	2735.11	2442.6	2443.02	1459.2	6.18	101.3	45.2	a8	minimap	s1	16	4
45.1679	0:00:45	2437.69	2735.11	2436.8	2437.35	315.01	6.18	95.14	43.5	a0	minimap	s1	4	4
48.3734	0:00:48	2658.15	2927.11	2656.02	2656.33	0	206.42	327.71	158.95	a7	minimap	s1	32	4
67.5492	0:01:07	3062.73	3273.11	3060.57	3060.98	0	6.18	245.86	166.58	b7	minimap	s1	32	4
75.5398	0:01:15	3029.83	3273.11	3027.67	3028.09	0	6.18	226.99	171.5	b8	minimap	s1	16	4
83.5807	0:01:23	3235.07	3481.12	3233.33	3233.77	0	6.18	331.05	277.21	b9	minimap	s1	8	4
88.6132	0:01:28	3201.76	3481.12	3199.55	3200.47	638.82	6.18	309.91	275.15	b0	minimap	s1	4	4
149.0124	0:02:29	4368.16	4555.43	4366.46	4366.9	1459.96	6.18	343.86	512.9	c9	minimap	s1	8	4
164.5246	0:02:44	4260.27	4555.43	4258.81	4259.62	1291.07	6.18	307.69	506.76	c0	minimap	s1	4	4
166.036	0:02:46	4237.12	4427.43	4234.93	4235.33	480.35	6.18	299.36	496.73	c8	minimap	s1	16	4
177.5084	0:02:57	4342.88	4507.54	4340.82	4341.13	0	65.07	355.03	630.75	c7	minimap	s1	32	4
614.8397	0:10:14	5493.35	5669.11	5491.48	5491.92	0	3530.27	382.17	2350.25	d7	minimap	s1	32	4
560.0229	0:09:20	5511.34	5693.14	5509.38	5509.81	0	4690.1	393.16	2202.32	d8	minimap	s1	16	4
521.8138	0:08:41	5473.17	5605.11	5471.24	5471.5	0	3530.27	372.66	1945.17	d9	minimap	s1	8	4
596.1907	0:09:56	5483.89	5581.14	5482.88	5483.42	4924.11	4135.34	382.74	2282.4	d0	minimap	s1	4	4
22.9773	0:00:22	2608.04	2951.12	2605.8	2606.22	0	6.18	390.42	90.21	a3	minimap	s1	32	8
30.1096	0:00:30	2488	2935.12	2486.1	2486.57	0	6.18	177.74	54.12	a5	minimap	s1	16	8
30.8877	0:00:30	2504.26	2935.12	2503.18	2503.65	315.01	6.18	246.82	76.74	a6	minimap	s1	8	8
48.7678	0:00:48	3273.52	3713.12	3271.44	3271.72	150	542.71	618.94	301.88	b3	minimap	s1	32	8
58.8328	0:00:58	3177.09	3729.12	3175.26	3175.7	0	6.18	503.49	296.73	b5	minimap	s1	16	8
58.3754	0:00:58	3188.21	3729.12	3187.26	3187.81	638.82	6.18	511.67	299.28	b6	minimap	s1	8	8
89.5941	0:01:29	4348.66	4835.45	4346.46	4346.86	0	6.18	590.35	529.02	c3	minimap	s1	32	8
76.2165	0:01:16	3980.44	4307.45	3979.15	3979.55	0	6.18	403.52	308.09	c5	minimap	s1	16	8
102.5002	0:01:42	4213.39	4515.45	4212.53	4212.99	1291.07	6.18	499.99	513.06	c6	minimap	s1	8	8
310.823	0:05:10	5586.49	5869.12	5584.39	5584.8	0	3530.27	725.64	2256	d3	minimap	s1	32	8
250.7873	0:04:10	5573.66	5819.38	5571.72	5572.16	10.5	3530.27	701.77	1760.52	d5	minimap	s1	16	8
270.0535	0:04:30	5679.7	5869.12	5677.78	5678.59	4924.11	3530.27	684.23	1848.25	d6	minimap	s1	8	8
20.6455	0:00:20	2718.68	3479.16	2716.75	2717.22	0	6.18	728.25	150.88	a2	minimap	s1	32	16
24.5167	0:00:24	2639.5	3479.16	2638.58	2639.04	315.01	6.18	429.9	106.04	a4	minimap	s1	16	16
32.1147	0:00:32	2991.47	3745.16	2989.45	2989.86	0	6.18	438.91	141.55	b2	minimap	s1	32	16
33.1161	0:00:33	2919.57	3745.16	2918.71	2919.25	638.82	6.18	256.71	85.33	b4	minimap	s1	16	16
45.5335	0:00:45	3494.61	4291.47	3492.98	3493.28	0	6.18	232.63	106.58	c2	minimap	s1	32	16
50.6939	0:00:50	4549.12	5299.59	4548.23	4548.78	1291.07	380.25	1142.21	579.64	c4	minimap	s1	16	16
161.9915	0:02:41	5761.37	6409.62	5759.21	5759.62	0	3530.27	1256.37	2035.73	d2	minimap	s1	32	16
159.5564	0:02:39	5785.8	6371.42	5784.77	5785.31	4924.11	3530.26	1106.7	1766.3	d4	minimap	s1	16	16
12.3564	0:00:12	2859.81	4551.22	2858.79	2859.34	315.01	224.64	1123.95	139.54	a1	minimap	s1	32	32
25.1114	0:00:25	3232.14	4801.22	3232.76	3233.31	638.82	6.18	849.3	213.46	b1	minimap	s1	32	32
43.5578	0:00:43	3496.78	5331.53	3497.88	3498.43	1291.07	6.18	219.28	96.03	c1	minimap	s1	32	32
120.6829	0:02:00	6101.26	6701.25	6100.29	6100.84	4924.11	3530.26	1905.45	2300.01	d1	minimap	s1	32	32
36.9858	0:00:36	2446.8	2735.11	2444.88	2445.13	0	6.18	126.02	47.15	a9	minimap	s2	8	4
42.802	0:00:42	2431.15	2735.11	2429	2429.42	0	6.18	111.9	48.53	a8	minimap	s2	16	4
45.7013	0:00:45	2411.02	2735.11	2408.71	2409.12	0	6.18	91.26	41.97	a7	minimap	s2	32	4
46.2086	0:00:46	2413.45	2671.11	2412.53	2413.07	306.63	6.18	86.02	40.31	a0	minimap	s2	4	4
66.807	0:01:06	3046.2	3273.11	3044.25	3044.66	0	6.18	250.85	167.98	b7	minimap	s2	32	4
73.778	0:01:13	3010.73	3209.11	3008.56	3008.98	0	6.18	230.11	170.08	b8	minimap	s2	16	4
84.6065	0:01:24	3209.71	3553.12	3207.94	3208.38	1460.21	6.18	328.82	278.75	b9	minimap	s2	8	4
85.448	0:01:25	3209.7	3489.12	3207.43	3208.35	622.45	6.18	325.33	278.52	b0	minimap	s2	4	4
143.2258	0:02:23	4336.81	4508.02	4334.54	4334.95	0	376.45	362.14	519.15	c8	minimap	s2	16	4
151.495	0:02:31	4317.38	4563.91	4315.72	4315.95	0	6.18	332.55	504.39	c9	minimap	s2	8	4
154.9825	0:02:34	4274.89	4539.9	4272.8	4273.21	0	6.18	332.22	515.34	c7	minimap	s2	32	4
162.8533	0:02:42	4228.5	4539.9	4226.6	4227	1258.57	6.18	311.21	507.35	c0	minimap	s2	4	4
367.228	0:06:07	5365.46	5554.55	5363.02	5363.44	1459.12	2356.99	374.58	1376.13	d7	minimap	s2	32	4
381.0315	0:06:21	5378.18	5618.55	5375.86	5376.24	0	2408.41	389.83	1485.91	d8	minimap	s2	16	4
335.812	0:05:35	5391.55	5554.55	5389.44	5389.74	0	2356.99	374.73	1259.02	d9	minimap	s2	8	4
389.2381	0:06:29	5389.89	5531.88	5388.81	5389.36	3147.26	2356.99	369.26	1437.8	d0	minimap	s2	4	4
22.2197	0:00:22	2589.81	2999.12	2587.63	2588.04	1460.25	6.18	400.94	89.57	a3	minimap	s2	32	8
23.803	0:00:23	2562.26	2935.12	2560.49	2560.93	0	6.18	353.02	84.64	a5	minimap	s2	16	8
29.6267	0:00:29	2499.21	2935.12	2498.29	2498.75	306.63	6.18	232.53	69.42	a6	minimap	s2	8	8
47.0931	0:00:47	2799.98	3201.12	2797.71	2798.13	1065.7	6.18	171.25	81.12	b3	minimap	s2	32	8
56.0294	0:00:56	3213.32	3753.13	3211.55	3211.99	0	6.18	543.81	305.26	b5	minimap	s2	16	8
56.788	0:00:56	3200.33	3753.13	3199.69	3200.24	622.45	6.18	528.46	300.73	b6	minimap	s2	8	8
97.0115	0:01:37	4253.68	4819.92	4251.81	4252.22	0	6.18	549.78	533.39	c3	minimap	s2	32	8
73.8755	0:01:13	3998.46	4291.91	3996.96	3997.4	1459.96	6.18	416.76	308.03	c5	minimap	s2	16	8
94.6814	0:01:34	4274.04	4819.92	4273.1	4273.56	1258.57	6.18	547.62	519.03	c6	minimap	s2	8	8
194.508	0:03:14	5441.34	5818.57	5438.84	5439.26	0	2356.99	656.53	1277.59	d3	minimap	s2	32	8
166.52	0:02:46	5462.61	5786.68	5460.68	5461.12	1464.46	2356.99	609.9	1016.15	d5	minimap	s2	16	8
190.2303	0:03:10	5458.66	5731.9	5456.72	5457.54	3147.26	2356.99	580.57	1104.86	d6	minimap	s2	8	8
20.7079	0:00:20	2699.12	3479.16	2697.59	2698.03	0	6.18	727.65	151.22	a2	minimap	s2	32	16
22.8523	0:00:22	2627.45	3463.15	2626.61	2627.08	306.63	6.18	514.65	118.07	a4	minimap	s2	16	16
30.9973	0:00:30	2978.15	3745.16	2976.18	2976.62	1459.22	6.18	460.12	142.8	b2	minimap	s2	32	16
28.9844	0:00:28	3003.12	3745.16	3002.2	3002.75	622.45	6.18	460.21	133.71	b4	minimap	s2	16	16
43.8028	0:00:43	3560.9	4307.95	3558.92	3559.29	0	6.18	289.76	127.63	c2	minimap	s2	32	16
54.4436	0:00:54	4544.65	5300.06	4543.64	4544.18	1258.57	169.5	1033.23	563.08	c4	minimap	s2	16	16
106.3191	0:01:46	5560.49	6346.6	5558.55	5558.99	1460.21	1180.57	1009.33	1073.61	d2	minimap	s2	32	16
109.5158	0:01:49	5550.29	6259.93	5549.28	5549.82	3147.26	2375.17	1197.09	1311.59	d4	minimap	s2	16	16
17.3013	0:00:17	2837.42	4535.22	2836.41	2836.95	306.63	193.84	762.02	132.71	a1	minimap	s2	32	32
23.8975	0:00:23	3235.69	4801.22	3234.62	3235.17	622.45	6.18	939.23	224.74	b1	minimap	s2	32	32
41.2482	0:00:41	3519.99	5348	3519.21	3519.76	1258.57	6.18	220.79	91.42	c1	minimap	s2	32	32
86.6023	0:01:26	5853.77	6469.22	5852.77	5853.32	3147.26	1939.44	1599.18	1385.56	d1	minimap	s2	32	32
1481.8376	0:24:41	733.14	922.78	724.95	728.24	7293.63	17575.71	339.59	5032.27	a9	nanopolish_eventalign	deac	8	4
1539.7546	0:25:39	730.8	923.17	724.7	727.63	10924.74	17774.41	327.64	5044.12	a8	nanopolish_eventalign	deac	16	4
1638.6553	0:27:18	729.92	922.19	725.31	727.56	8546.98	17878.68	337.99	5539.02	a7	nanopolish_eventalign	deac	32	4
1755.5417	0:29:15	733.04	918.06	731.18	731.61	6309.75	17557.63	302.48	5310.1	a0	nanopolish_eventalign	deac	4	4
3064.097	0:51:04	760.66	944.72	754.43	756.42	25243.71	36682.89	308.17	9443.1	b7	nanopolish_eventalign	deac	32	4
3314.6771	0:55:14	762.68	945.09	754.27	757.02	23876.63	36628.39	313.44	10390.01	b8	nanopolish_eventalign	deac	16	4
3660.9101	1:01:00	762.74	950.52	754.34	757.78	22857.1	36782.83	315.86	11564.1	b0	nanopolish_eventalign	deac	4	4
3792.0591	1:03:12	759.07	945.13	758.72	758.79	53369.36	36663.01	295.67	11212.35	b9	nanopolish_eventalign	deac	8	4
7611.3282	2:06:51	815.53	995	812.26	812.46	41458.12	74900.93	306.75	23348.08	c0	nanopolish_eventalign	deac	4	4
15682.195	4:21:22	813.74	995.02	808.4	810.11	620377.25	75075.07	182.12	28560.91	c9	nanopolish_eventalign	deac	8	4
26971.8704	7:29:31	808.01	1000.8	806.2	806.76	1919965.98	75142.58	140.54	37905.73	c8	nanopolish_eventalign	deac	16	4
27751.1389	7:42:31	808.54	999.26	806.72	807.31	1715854.16	75137.09	127.55	35396.81	c7	nanopolish_eventalign	deac	32	4
176370.9807	2 days, 0:59:30	1002.52	1203.21	1000.76	1001.54	12859320.89	203082.36	66.4	117109.97	d7	nanopolish_eventalign	deac	32	4
169671.4065	1 day, 23:07:51	1002.54	1197.66	1000.73	1001.26	12595276.43	203086.35	81.73	138679.54	d8	nanopolish_eventalign	deac	16	4
174147.4096	2 days, 0:22:27	1003.8	1200.91	1003.4	1003.55	11768679.21	203081.53	69.08	120292.95	d9	nanopolish_eventalign	deac	8	4
73857.5826	20:30:57	1006.85	1195.51	1005.14	1005.69	6586979.62	203067.32	133.88	98881.64	d0	nanopolish_eventalign	deac	4	4
1018.4383	0:16:58	763.38	1179.71	754.98	757.81	11053.01	17677.39	538.91	5489	a3	nanopolish_eventalign	deac	32	8
1034.2097	0:17:14	765.06	1180.44	756.66	760.03	6174.32	17376.81	570.04	5895.54	a5	nanopolish_eventalign	deac	16	8
1072.8311	0:17:52	765.9	1185.99	763.78	764.25	6340.34	17806.83	534.43	5733.71	a6	nanopolish_eventalign	deac	8	8
2484.2742	0:41:24	797.45	1207.07	790	793.35	23631.1	36817.35	511.09	12697.37	b3	nanopolish_eventalign	deac	32	8
2721.4046	0:45:21	795.08	1212.11	793.12	793.46	24992.17	36838.19	529.9	14421.1	b5	nanopolish_eventalign	deac	16	8
2673.0584	0:44:33	798.39	1207.15	797.73	797.9	22370.47	36654.48	536.9	14351.73	b6	nanopolish_eventalign	deac	8	8
20636.4423	5:43:56	849.98	1256.57	846.83	847.86	1297804.89	75128.27	182.9	37744.81	c3	nanopolish_eventalign	deac	32	8
7775.2788	2:09:35	848.04	1259.3	846.07	846.3	319148.42	75050.77	378.32	29415.92	c5	nanopolish_eventalign	deac	16	8
6238.2099	1:43:58	851.15	1258.45	849.11	849.38	59578.84	75140.51	454.5	28352.93	c6	nanopolish_eventalign	deac	8	8
148902.9362	1 day, 17:21:42	1052.65	1461.79	1050.85	1051.74	10222535.49	203075.34	80.1	119279.33	d3	nanopolish_eventalign	deac	32	8
132421.9683	1 day, 12:47:01	1047.66	1457.69	1047.23	1047.27	10916842.55	203081.71	102.74	136046.7	d5	nanopolish_eventalign	deac	16	8
22690.0328	6:18:10	1056	1458.87	1054.11	1054.95	723741	203089.45	385.86	87552.36	d6	nanopolish_eventalign	deac	8	8
944.4546	0:15:44	829.59	1713.23	821.18	825.38	11312.59	17306.14	790.96	7470.61	a2	nanopolish_eventalign	deac	32	16
910.4946	0:15:10	825.34	1707.69	823.24	823.75	6688.34	17565.4	816.58	7435	a4	nanopolish_eventalign	deac	16	16
2157.5094	0:35:57	864.16	1734.78	862.27	863.08	29942.09	36717.1	762.59	16453.4	b2	nanopolish_eventalign	deac	32	16
1606.4924	0:26:46	863.39	1734.64	861.45	861.68	22729.09	36083.66	1034.93	16626.26	b4	nanopolish_eventalign	deac	16	16
9431.9057	2:37:11	906.83	1783.82	904.94	905.26	612245.72	74961.83	433.16	40855.76	c2	nanopolish_eventalign	deac	32	16
5714.4614	1:35:14	925.67	1787.36	923.66	923.9	52744.15	74868.31	559.11	31950.32	c4	nanopolish_eventalign	deac	16	16
125391.6412	1 day, 10:49:51	1131.36	1989.93	1130.98	1131.08	10628126.6	203046.46	98.94	124066.99	d2	nanopolish_eventalign	deac	32	16
18098.8519	5:01:38	1138.77	1986.04	1132.87	1135.82	516309.66	203022.02	701.22	126913.69	d4	nanopolish_eventalign	deac	16	16
999.375	0:16:39	945.59	2764.59	945.15	945.23	6046.12	17446.77	1320.23	13194.35	a1	nanopolish_eventalign	deac	32	32
2432.149	0:40:32	980.47	2788.7	980.47	980.47	22566.54	36666.78	881.28	21434.27	b1	nanopolish_eventalign	deac	32	32
5443.5591	1:30:43	1056.86	2840.48	1056.85	1056.85	61093.57	74874.84	802.21	43668.76	c1	nanopolish_eventalign	deac	32	32
98212.9033	1 day, 3:16:52	1290.23	3042.79	1290.23	1290.23	6393056.03	203082.2	124.44	122219.54	d1	nanopolish_eventalign	deac	32	32
1934.8823	0:32:14	1002.26	1176.66	1002.1	1002.17	11473.42	22815.36	320.05	6193.06	a8	nanopolish_eventalign	s1	16	4
1979.7247	0:32:59	995.19	1176.67	991.49	992.84	5806.52	22934.29	329.58	6525.2	a9	nanopolish_eventalign	s1	8	4
2175.462	0:36:15	999.24	1175.34	999.23	999.23	8083.28	22745.68	315.99	6874.73	a7	nanopolish_eventalign	s1	32	4
2204.1369	0:36:44	996.77	1168.79	994.9	995.14	7283.33	22785.86	306.06	6746.51	a0	nanopolish_eventalign	s1	4	4
3824.5736	1:03:44	1031.91	1198.52	1031.43	1031.53	48647.04	47005.43	305.82	11696.83	b7	nanopolish_eventalign	s1	32	4
4007.188	1:06:47	1034.42	1204.77	1033.9	1034.02	34554.51	47000.95	310.39	12437.82	b9	nanopolish_eventalign	s1	8	4
4305.848	1:11:45	1028.75	1198.91	1028.53	1028.54	50790.1	47028.52	301.71	12991.53	b8	nanopolish_eventalign	s1	16	4
4646.9758	1:17:26	1033.27	1204.18	1024.86	1028.3	23136.28	47300.97	312.27	14511.68	b0	nanopolish_eventalign	s1	4	4
9514.7179	2:38:34	1081.32	1253.75	1077.05	1077.62	41939.64	96236.33	307.03	29213.39	c0	nanopolish_eventalign	s1	4	4
27186.9445	7:33:06	1087.69	1249.41	1080.98	1082.84	1234508.4	96237.81	150.73	40978.2	c9	nanopolish_eventalign	s1	8	4
31060.6184	8:37:40	1075.88	1253.88	1075.5	1075.58	2064458.84	96260.42	137.85	42817.45	c7	nanopolish_eventalign	s1	32	4
32280.1604	8:58:00	1077.88	1249.26	1077.48	1077.55	2662742.44	96149.41	134.89	43544.66	c8	nanopolish_eventalign	s1	16	4
497393.3755	5 days, 18:09:53	1315.81	1487.45	1315.8	1315.8	19438033.8	373647.93	41.13	204575.37	d7	nanopolish_eventalign	s1	32	4
160101.1963	1 day, 20:28:21	1309.42	1484.53	1309.01	1309.03	22944921.56	373637.91	85.69	137140.22	d8	nanopolish_eventalign	s1	16	4
163782.0379	1 day, 21:29:42	1310.22	1488.28	1309.8	1309.82	27155607.56	373617.93	118.87	194682.91	d9	nanopolish_eventalign	s1	8	4
